Designator,Mid X,Mid Y,Layer,Rotation
R15,53.9,-56.1,top,90
R16,47,-46.4,top,180
R17,46.9,-55.2,top,-90
R18,52.2,-53.8,top,-90
R19,45,-29.7,top,180
R20,52.2,-35.9,top,90
R21,16.2,-32,top,180
R22,16.2,-30,top,180
R23,16.19,-33,top,180
R24,16.2,-31,top,180
R25,16.18,-29,top,180
R26,16.19,-26.8,top,180
R27,35.7,-32.6,top,-90
R28,34.7,-32.6,top,-90
R29,35.5,-27.7,top,0
R30,29.5,-27.7,top,0
R31,63.3,-30.4,top,-90
R32,62.3,-30.4,top,90
R33,61.3,-30.4,top,90
R34,63.8,-29,top,180
R35,63.8,-28,top,180
R36,71.2,-30.8,top,180
R37,70.7,-29.45,top,90
R38,70.7,-27.55,top,-90
R39,74.8,-32,top,180
R40,74.8,-31,top,180
R41,62.8,-37.3,top,90
R42,64.2,-37.7,top,0
R43,71.2,-32.6,top,90
R44,71.2,-34.5,top,-90
R45,27.1,-42.5,top,90
R46,28.9,-53.8,top,90
R47,63.4,-44,top,0
R48,65.4,-42.6,top,0
R49,64.3,-78.4,top,180
R50,64.3,-77.5,top,0
R51,36.6,-84.8,top,-90
R52,55.1,-84.85,top,-90
R53,8.9,-10.7,top,-90
R54,82.5,-10.7,top,-90
R55,85.1,-85.2,top,90
R56,5.1,-85.2,top,90
SH1,22,-60,top,0
SH2,68,-60,top,0
U1,65.5,-22,top,0
U2,48,-18,top,180
U3,48,-21.5,top,180
U4,50.2,-54.9,top,90
U5,45,-37,top,-90
U6,34.4,-36.5,top,-90
U7,33.95,-22.5,top,-90
U8,28.05,-22.5,top,-90
U9,67,-29,top,180
U10,67,-34.5,top,0
U11,22,-44.5,top,90
U12,20,-69,top,-90
U13,68,-47,top,90
U14,65,-72.5,top,90
X1,46.8,-26.7,top,0
X2,55,-28.7,top,90
X3,17.8,-43.5,top,-90
X4,61.3,-45.9,top,-90
